Filename (CUAD Dataset),Sentence,GPT-3.5 Extracted Norms,Author comments
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,"Notwithstanding any other provision of this Agreement, Rogers may terminate this Agreement, at any time, upon sixty (60) days' prior written notice to Licensor.","1. Norm type: authorization
2. Subject: Rogers
3. Object: Licensor
4. Antecedent: Rogers providing sixty (60) days' prior written notice
5. Consequent: termination of the Agreement",
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,"ETON has the right to terminate this Agreement after approval of the Dossier or marketing application for the Product (or added new product), at its sole discretion, upon providing one hundred eighty (180) days' written notice to Aucta.","Norm 1:
1. Norm type: Power
2. Subject: ETON
3. Object: Aucta
4. Antecedent: Approval of the Dossier or marketing application for the Product (or added new product)
5. Consequent: Termination of the Agreement

Norm 2:
1. Norm type: Commitment
2. Subject: ETON
3. Object: Aucta
4. Antecedent: Approval of the Dossier or marketing application for the Product (or added new product)
5. Consequent: Providing one hundred eighty (180) days' written notice","- Norm 1 type incorrect (should be authorization)
- Norm 2 incorrect (no commitment in the clause. Further, consequent is incorrect too) "
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"This Agreement may be terminated by Nuance at any time, in its sole discretion, prior to the Distribution; provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms.","Norm 1:
1. Norm type: Power
2. Subject: Nuance
3. Object: Distribution
4. Antecedent: Prior to the Distribution
5. Consequent: Termination of the Agreement

Norm 2:
1. Norm type: Commitment
2. Subject: Nuance
3. Object: Separation Agreement
4. Antecedent: Termination of the Separation Agreement in accordance with its terms
5. Consequent: Automatic termination of this Agreement","- Incorrect object in both norms
- Incorrect norm type commitment (may indicates authorization and not commitment)."
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,"Either Party may terminate the Project and all commitments and obligations with respect thereto, subject to Section 8.3 herein, upon thirty (30) days written notice to the other Party.","Norm 1:
1. Norm type: Authorization
2. Subject: Either Party
3. Object: the other Party
4. Antecedent: thirty (30) days written notice
5. Consequent: termination of the Project and all commitments and obligations with respect thereto

Norm 2:
1. Norm type: Commitment
2. Subject: Either Party
3. Object: the other Party
4. Antecedent: Section 8.3 herein
5. Consequent: termination of the Project and all commitments and obligations with respect thereto","- Incorrect norm type commitment (may indicates authorization and not commitment).
- Should there even be 2 norms? (or one norm with conjunction (AND))"
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,This Agreement may be terminated by ArTara upon thirty (30) days prior written notice to University.,"Norm 1:
1. Norm type: Power
2. Subject: ArTara
3. Object: University
4. Antecedent: Thirty (30) days prior written notice
5. Consequent: Termination of the Agreement

Norm 2:
1. Norm type: Commitment
2. Subject: University
3. Object: ArTara
4. Antecedent: Thirty (30) days prior written notice
5. Consequent: Acceptance of termination of the Agreement","- Commitment norm is redundant, but it's interesting that the model inferred it."
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,"COMPANY will pay JHU a fee equal one percent (1%) of the Aggregate Consideration received by the COMPANY, or the total amount received by stockholders of COMPANY, upon the occurrence of a Liquidity Event.","Norm 1:
1. Norm type: Commitment
2. Subject: COMPANY
3. Object: JHU
4. Antecedent: Occurrence of a Liquidity Event
5. Consequent: COMPANY will pay JHU a fee equal to one percent (1%) of the Aggregate Consideration received by the COMPANY, or the total amount received by stockholders of COMPANY. 

Norm 2:
1. Norm type: Authorization
2. Subject: JHU
3. Object: COMPANY
4. Antecedent: Occurrence of a Liquidity Event
5. Consequent: JHU is authorized to receive a fee equal to one percent (1%) of the Aggregate Consideration received by the COMPANY, or the total amount received by stockholders of COMPANY.","- Authorization is redundant (Similar to the previous case)
- Consequent includes the subject and object (along with most of the sentence)  "
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,A Party may terminate the JSMA immediately upon the delivery of written notice to the other Party if there has been a Change in Control.,"Norm 1:
1. Norm type: Authorization
2. Subject: A Party
3. Object: the other Party
4. Antecedent: Change in Control
5. Consequent: Termination of the JSMA

Norm 2:
1. Norm type: Commitment
2. Subject: A Party
3. Object: the other Party
4. Antecedent: Change in Control
5. Consequent: Termination of the JSMA","- Commitment norm is redundant (similar to previous 2 cases)
- 'upon the delivery of written notice' is not captured in the antecedent"
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF,"Franchisee  agrees to notify the  telephone  company and all  telephone directory  publishers of the termination or expiration of Franchisee's  right to use any  telephone  and telecopy  numbers and any regular,  classified  or other telephone  directory  listings  associated  with any Mark and to  authorize  the transfer  thereof to Pretzel Time or at its direction.","Norm 1:
1. Norm type: Authorization
2. Subject: Franchisee
3. Object: Telephone company and all telephone directory publishers
4. Antecedent: Termination or expiration of Franchisee's right to use any telephone and telecopy numbers and any regular, classified or other telephone directory listings associated with any Mark
5. Consequent: Transfer thereof to Pretzel Time or at its direction

Norm 2:
1. Norm type: Commitment
2. Subject: Franchisee
3. Object: Telephone company and all telephone directory publishers
4. Antecedent: Termination or expiration of Franchisee's right to use any telephone and telecopy numbers and any regular, classified or other telephone directory listings associated with any Mark
5. Consequent: Notify the telephone company and all telephone directory publishers",- Both identified norms are correct
MOELIS&CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.PDF,"Following the expiration of such 10-day period, the Partner proposing to sell or transfer Partnership Interests shall have one hundred and eighty- (180-) days to sell or transfer, or enter into an agreement to sell or transfer the Partnership Interests with respect to which SMBC 's right under Section 12.3(a) was not exercised, at a price and upon terms no more favorable to the purchasers of such securities than specified in the Partner's notice.","Norm 1:
1. Norm type: Authorization
2. Subject: Partner proposing to sell or transfer Partnership Interests
3. Object: SMBC
4. Antecedent: Expiration of the 10-day period
5. Consequent: Partner shall have 180 days to sell or transfer Partnership Interests

Norm 2:
1. Norm type: Commitment
2. Subject: Partner proposing to sell or transfer Partnership Interests
3. Object: SMBC
4. Antecedent: Expiration of the 10-day period
5. Consequent: Partner commits to selling or transferring Partnership Interests within 180 days at specified terms

Norm 3:
1. Norm type: Prohibition
2. Subject: Partner proposing to sell or transfer Partnership Interests
3. Object: SMBC
4. Antecedent: Expiration of the 10-day period
5. Consequent: Partner is forbidden from selling or transferring Partnership Interests at terms more favorable than specified in the notice.","- Good norm extraction
- ChatGPT infers the Prohibition norm"
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT.PDF,"The  Franchisee  grants  to  BKC  or  its designee  upon  termination  or  expiration  of this  Agreement,  the  option to purchase all usable paper goods, containers and printed menus bearing any of the Burger  King  Marks or trade  names at the price paid by the  Franchisee  and to purchase the Franchisee's restaurant equipment, furniture, fixtures and signs at fair market value.","Norm 1:
1. Norm type: Authorization
2. Subject: Franchisee
3. Object: BKC or its designee
4. Antecedent: Termination or expiration of the Agreement
5. Consequent: Option to purchase all usable paper goods, containers, printed menus bearing Burger King Marks or trade names at the price paid by the Franchisee

Norm 2:
1. Norm type: Authorization
2. Subject: Franchisee
3. Object: BKC or its designee
4. Antecedent: Termination or expiration of the Agreement
5. Consequent: Option to purchase Franchisee's restaurant equipment, furniture, fixtures, and signs at fair market value.","- Good job with breaking the conjunction (AND) into two norms
- The DIrectionality of the authorization is incorrect (i.e., subject and object are interchanged). Object authorizes the subject and not the other way around"
