,Unnamed: 0,sent,gpt_extracted_norms
0,0,"Franchisee agrees to return all materials and supplies identified by the Marks in full cases or  packages  to Pretzel  Time for credit and dispose of all other materials and supplies, but not equipment,  identified by the Marks within thirty (30) days after the effective  date of  termination or expiration of this Agreement.","Norm 1:
1. Norm type: Commitment
2. Subject: Franchisee
3. Object: Pretzel Time
4. Antecedent: Effective date of termination or expiration of the Agreement
5. Consequent: Return all materials and supplies identified by the Marks in full cases or packages to Pretzel Time for credit and dispose of all other materials and supplies (excluding equipment) identified by the Marks within thirty (30) days.

Norm 2:
1. Norm type: Prohibition
2. Subject: Franchisee
3. Object: Pretzel Time
4. Antecedent: Effective date of termination or expiration of the Agreement
5. Consequent: Not to dispose of equipment identified by the Marks after the effective date of termination or expiration of the Agreement."
1,1,"To the extent any Development owned by Life Technologies relates directly to the practice of, or constitutes an improvement to, the Assay, Life Technologies hereby grants to Biocept, during the Term of this Agreement, and, except in the case of termination of this Agreement by Life Technologies for Biocept's uncured material breach, after expiration or termination of this Agreement, a non-exclusive, worldwide, royalty-free, fully-paid license, including the right to sublicense, under Life Technologies' Intellectual Property Rights in such Developments, solely to develop, make, have made, use, sell, have sold, offer for sale, import, perform and provide the Assay.","1. Norm type: authorization
2. Subject: Life Technologies
3. Object: Biocept
4. Antecedent: Development owned by Life Technologies relating directly to the practice of, or constituting an improvement to, the Assay
5. Consequent: granting a non-exclusive, worldwide, royalty-free, fully-paid license, including the right to sublicense, under Life Technologies' Intellectual Property Rights in such Developments, solely to develop, make, have made, use, sell, have sold, offer for sale, import, perform and provide the Assay. 

2. Norm type: commitment
2. Subject: Biocept
3. Object: Life Technologies
4. Antecedent: Term of the Agreement
5. Consequent: abiding by the terms of the non-exclusive, worldwide, royalty-free, fully-paid license granted by Life Technologies under their Intellectual Property Rights in the Developments related to the Assay."
2,2,"Each Party shall maintain complete, current and accurate records of all Development activities conducted by it hereunder, and all data and other information resulting from such activities, for at least [***] after the expiration or termination of this Agreement in its entirety or for such longer period as may be required by Applicable Law.","Norm 1:
1. Norm type: Commitment
2. Subject: Each Party
3. Object: -
4. Antecedent: Conducting Development activities
5. Consequent: Maintaining complete, current, and accurate records

Norm 2:
1. Norm type: Authorization
2. Subject: Each Party
3. Object: -
4. Antecedent: Conducting Development activities
5. Consequent: Maintaining data and other information for a specified period

Norm 3:
1. Norm type: Commitment
2. Subject: Each Party
3. Object: Applicable Law
4. Antecedent: Expiration or termination of the Agreement
5. Consequent: Maintaining records for a longer period as required by law"
3,3,Either party may terminate this Agreement by providing [*] month's written       notice to the other.,"1. Norm type: authorization
2. Subject: Either party
3. Object: the other party
4. Antecedent: providing [*] month's written notice
5. Consequent: termination of the Agreement"
4,4,"If Pfizer and Exact are unable to reach agreement on the terms of such Product rights within forty-five (45) days of the commencement of negotiations, then Exact shall be free to enter into negotiations and consummate an agreement with any Third Party regarding such OB/Gyn Commercial Rights; provided that the economic terms of such agreement shall be no more favorable to such Third Party than those last offered to Pfizer.","1. Norm type: authorization
2. Subject: Pfizer
3. Object: Exact
4. Antecedent: Pfizer and Exact are unable to reach agreement on the terms of Product rights within forty-five (45) days of the commencement of negotiations
5. Consequent: Exact shall be free to enter into negotiations and consummate an agreement with any Third Party regarding OB/Gyn Commercial Rights"
5,5,Either Party shall be entitled forthwith to terminate this Agreement by notice to the other if:<omitted>(i) the other Party ceases or threatens to cease to carry on the whole or any material part of its business;,"1. Norm type: commitment
2. Subject: Either Party
3. Object: the other Party
4. Antecedent: the other Party ceases or threatens to cease to carry on the whole or any material part of its business
5. Consequent: termination of the Agreement"
6,6,"At the end of the sell-off period set forth in Section 12.3(c)(iii), Sanofi shall transfer to RevMed any and all inventory of SHP2 Inhibitors and Termination Products (including all research materials, final product, bulk drug substance, intermediates, work-in-process, formulation materials, reference standards, drug product clinical reserve samples, packaged retention samples, and the like) then in the possession of Sanofi, its Affiliates or Sublicensees, and continue or have continued any ongoing stability studies pertaining to any materials so transferred to RevMed for a reasonable period of time until RevMed can assume responsibility for such activities","1. Norm type: commitment
2. Subject: Sanofi
3. Object: RevMed
4. Antecedent: End of the sell-off period set forth in Section 12.3(c)(iii)
5. Consequent: Transfer of inventory of SHP2 Inhibitors and Termination Products to RevMed, continuation of ongoing stability studies for a reasonable period of time"
7,7,"Accordingly, neither this Agreement nor any part of your interest in it, nor any Interest (as defined in Paragraph 14.2) of Franchise Owner or a Principal Owner, may be transferred (see definition below) without our advance written approval if such transfer will result in the Principal Owner(s) set forth in Exhibit 4 holding less than a seventy-five percent (75%) Interest in Franchise Owner.<omitted>As used in this Agreement the term ""Transfer"" means any voluntary, involuntary, direct or indirect assignment, sale, gift, exchange, grant of a security interest, or occurrence of any other event which would or might change the ownership of any Interest, and includes, without limitation: (1) the Transfer of ownership of capital stock, partnership interest or other ownership interest (including the granting of options (such as stock options or any option which give anyone ownership rights now or in the future); (2) merger or consolidation, or issuance of additional securities representing an ownership interest in Franchise Owner; (3) sale of common stock of Franchise Owner sold pursuant to a private placement or registered public offering; (4) Transfer of an Interest in a divorce proceeding or otherwise by operation of law; or (5) Transfer of an Interest by will, declaration of or transfer in trust, or under the laws of intestate succession.","1. Norm type: prohibition
2. Subject: Franchise Owner or a Principal Owner
3. Object: the party with respect to whom the norm applies (not explicitly stated in the sentence)
4. Antecedent: transfer of ownership resulting in Principal Owner(s) holding less than 75% interest in Franchise Owner
5. Consequent: transfer of the Agreement or any part of interest in it without advance written approval is prohibited."
8,8,"Biocept grants to Life Technologies a non-exclusive option, exercisable during the two (2) year period beginning on the Effective Date, to develop plans, and negotiate with Biocept, for the co-development with Biocept of such systems for the Assay, employing or based on Biocept technologies.","Norm 1:
1. Norm type: Authorization
2. Subject: Life Technologies
3. Object: Biocept
4. Antecedent: Exercisable during the two (2) year period beginning on the Effective Date
5. Consequent: Develop plans and negotiate with Biocept for the co-development of systems for the Assay, employing or based on Biocept technologies

Norm 2:
1. Norm type: Power
2. Subject: Life Technologies
3. Object: Biocept
4. Antecedent: Exercisable during the two (2) year period beginning on the Effective Date
5. Consequent: Bring about the development of plans and negotiation with Biocept for the co-development of systems for the Assay, employing or based on Biocept technologies"
9,9,"This Agreement can be terminated at any time prior to the expiry of the Term, as follows:<omitted>(c) by the Consultant electing to give the Company notice, in the event that there occurs a Change of Control (as defined below) within six (6) months of the effective date of such Change of Control, and if the Consultant so elects to terminate this Agreement, then the Consultant will be immediately entitled to a termination payment equal to CDN$750,000;","1. Norm type: commitment
2. Subject: Consultant
3. Object: Company
4. Antecedent: Change of Control occurring within six months of the effective date
5. Consequent: Consultant being entitled to a termination payment equal to CDN$750,000"
10,10,"During the Term, Supplier will promptly notify Customer in writing if at any time a Change of Control shall occur as to Supplier, such notification to be given no later than fifteen (15) days following such Change of Control. [* * *]","1. Norm type: commitment
2. Subject: Supplier
3. Object: Customer
4. Antecedent: Change of Control occurs as to Supplier
5. Consequent: Supplier will promptly notify Customer in writing no later than fifteen (15) days following such Change of Control."
11,11,"Accordingly, either Party may terminate this Agreement or all/part of a Project for any reason and at any time upon giving the other Party sixty (60) days prior written notice.","1. Norm type: commitment
2. Subject: either Party
3. Object: the other Party
4. Antecedent: giving the other Party sixty (60) days prior written notice
5. Consequent: termination of the Agreement or all/part of a Project"
